,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Tour_B_(TGBT_D5) kvar L1 (kvar) [MIN] ,57403.0,-0.8912557489004459,0.8085370690808372,-7.48,-1.19,-0.62,-0.5,7.69,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L1 (kvar) [AVG] ,57403.0,-0.7123688956265828,0.7322990768691311,-4.91,-1.05,-0.52,-0.43,8.1,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L1 (kvar) [MAX] ,57403.0,-0.5114784527467804,0.9663133797724924,-4.22,-0.92,-0.42,-0.33,9.06,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L2 (kvar) [MIN] ,57403.0,-1.1998243237407524,0.7490415039728195,-8.13,-1.4,-1.01,-0.82,7.73,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L2 (kvar) [AVG] ,57403.0,-0.9794589006039995,0.6683700331805915,-4.65,-1.28,-0.87,-0.72,8.13,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L2 (kvar) [MAX] ,57403.0,-0.7406553793461279,1.017944114453757,-3.49,-1.15,-0.73,-0.61,8.7,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L3 (kvar) [MIN] ,57403.0,-1.0355037941953147,0.7316071136281023,-6.51,-1.38,-0.85,-0.73,7.48,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L3 (kvar) [AVG] ,57403.0,-0.8728854972906687,0.6881676365080741,-4.27,-1.28,-0.74,-0.65,7.97,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar L3 (kvar) [MAX] ,57403.0,-0.6807795492634606,0.968810971921643,-3.36,-1.18,-0.64,-0.54,8.77,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar sys (kvar) [MIN] ,57403.0,-2.975991196277514,1.916643082351094,-19.22,-3.86,-2.3,-1.98,23.18,2789,4.633506113769272
Tour_B_(TGBT_D5) kvar sys (kvar) [MAX] ,57403.0,-2.114761106790373,2.7091752334936614,-9.99,-3.42,-1.86,-1.61,25.85,2789,4.633506113769272
SALLE_B201_(A_1_ETAGE_TOUR_B) kWh (kWh) [ABS] ,57375.0,17542.25256161387,3575.345846032721,10943.6,14487.6,17694.5,20682.0,23565.7,2817,4.680023923444976
