,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
CLIM_TOUR_A_(TGBT_D6) A L3 (A) [MIN] 576,2696.0,0.050860534124629084,0.365076962715148,0.0,0.0,0.0,0.0,10.26,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L3 (A) [AVG] 577,2696.0,0.08387982195845697,0.5816442744407677,0.0,0.0,0.0,0.0,10.33,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) A L3 (A) [MAX] 578,2696.0,0.12322329376854599,0.8476212025410217,0.0,0.0,0.0,0.0,10.44,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) Run hour meter (h) [ABS] 579,2696.0,7597.988186201781,13.253519215224468,7529.54,7602.05,7602.05,7602.05,7602.05,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) Hz (Hz) [AVG] 580,2696.0,50.00822310158209,0.021783108777083407,49.89,50.0,50.0,50.01,50.14,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) Hz (Hz) [MAX] 581,2696.0,50.09072700296737,0.03979621127669388,49.9,50.1,50.1,50.1,50.2,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF L1  [MIN] 582,2696.0,0.8401001483679524,0.5146038961468102,-0.9,1.0,1.0,1.0,1.0,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF L1  [AVG] 583,2696.0,0.8429005934718101,0.5086870280698628,-0.87,1.0,1.0,1.0,1.0,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF L1  [MAX] 584,2696.0,0.8459532640949553,0.5041357527334744,-0.86,1.0,1.0,1.0,1.0,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF L2  [MIN] 585,2696.0,0.9860645400593471,0.043349315795914285,0.66,1.0,1.0,1.0,1.0,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF L2  [AVG] 586,2696.0,0.9873479228486647,0.03951908323867361,0.78,1.0,1.0,1.0,1.0,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF L2  [MAX] 587,2696.0,0.9885682492581602,0.036292327049226955,0.8,1.0,1.0,1.0,1.0,57496,95.52099946836789
CLIM_TOUR_A_(TGBT_D6) PF L3  [MIN] 588,2696.0,0.994269287833828,0.034908629725694695,0.76,1.0,1.0,1.0,1.0,57496,95.52099946836789
